Title,Company,Location,Stipend_Raw,Duration_Raw,URL,Location_Clean,Stipend_Monthly,Duration_Clean,Title_Clean,Company_Clean
Social Media Marketing - Internship,Social Hippi,Mumbai,"₹ 5,000 - 10,000 /month",3 Months,https://internshala.com/internship/detail/social-media-marketing-internship-in-bangalore-at-social-hippi1761914012,Mumbai,5000.0,3.0,Social Media Marketing - Internship,Social Hippi
Customer Service/Customer Support - Internship,Sugar.fit,Mumbai,"₹ 15,000 /month",1 Month,https://internshala.com/internship/detail/customer-service-customer-support-internship-in-bangalore-at-sugarfit1761916573,Mumbai,15000.0,1.0,Customer Service/Customer Support - Internship,Sugar.fit
Organizational Psychology - Internship,Mdtresy Medical Travel Private Limited,Mumbai,"₹ 1,000 /month",1 Month,https://internshala.com/internship/detail/work-from-home-part-time-organizational-psychology-internship-at-mdtresy-medical-travel-private-limited1762105180,Mumbai,1000.0,1.0,Organizational Psychology - Internship,Mdtresy Medical Travel Private Limited
Marketing & Promotions - Internship,Ambrosia Botanical,Mumbai,"₹ 8,000 - 12,000 /month",3 Months,https://internshala.com/internship/detail/marketing-promotions-internship-in-gurgaon-at-ambrosia-botanical1761917158,Mumbai,8000.0,3.0,Marketing & Promotions - Internship,Ambrosia Botanical
Behavioral & Digital Research Analyst - Internship,OURI.OUT,Mumbai,"₹ 10,000 - 25,000 /month",2 Months,https://internshala.com/internship/detail/work-from-home-part-time-behavioral-digital-research-analyst-internship-at-ouriout1761918160,Mumbai,10000.0,2.0,Behavioral & Digital Research Analyst - Internship,OURI.OUT
Data Entry Operator - Internship,10 Fingers Solutions Private Limited,Mumbai,"₹ 8,000 - 14,000 /month",3 Months,https://internshala.com/internship/detail/data-entry-operator-internship-in-multiple-locations-at-10-fingers-solutions-private-limited1762115623,Mumbai,8000.0,3.0,Data Entry Operator - Internship,10 Fingers Solutions Private Limited
Medical Imaging - Mammogram Annotation (AI) - Internship,Pulse Hitech Health Services Pvt. Ltd.,Mumbai,"₹ 7,000 - 12,000 /month",2 Months,https://internshala.com/internship/detail/medical-imaging-mammogram-annotation-ai-internship-in-mumbai-at-pulse-hitech-health-services-pvt-ltd1761923026,Mumbai,7000.0,2.0,Medical Imaging - Mammogram Annotation (AI) - Internship,Pulse Hitech Health Services Pvt. Ltd.
Customer Service/Customer Support - Internship,Krish Mehta,Mumbai,"₹ 3,500 - 5,000 /month",3 Months,https://internshala.com/internship/detail/part-time-customer-service-customer-support-internship-in-virar-at-krish-mehta1761925054,Mumbai,3500.0,3.0,Customer Service/Customer Support - Internship,Krish Mehta
Project Management - Internship,MagicTeal,Mumbai,"₹ 4,000 - 6,000 /month",3 Months,https://internshala.com/internship/detail/work-from-home-project-management-internship-at-magicteal1761934027,Mumbai,4000.0,3.0,Project Management - Internship,MagicTeal
Growth - Brand Building And Partnerships - Internship,MakerVerse,Mumbai,"₹ 13,000 - 20,000 /month",6 Months,https://internshala.com/internship/detail/growth-brand-building-and-partnerships-internship-in-hyderabad-at-makerverse1762152613,Mumbai,13000.0,6.0,Growth - Brand Building And Partnerships - Internship,MakerVerse
Store Keeper - Internship,Dough One Sources Private Limited,Mumbai,"₹ 5,000 - 15,000 /month",6 Months,https://internshala.com/internship/detail/store-keeper-internship-in-multiple-locations-at-dough-one-sources-private-limited1762232940,Mumbai,5000.0,6.0,Store Keeper - Internship,Dough One Sources Private Limited
